YYYY,MM,DD,HH,AH_hour,H_hour,T1_hour,T2_hour,T3_hour,T4_hour,T5_hour,quality
2015,1,4,0,7.9000000000000004,156.446,283.5,335.63299999999998,569.31700000000001,350.91699999999997,234.94999999999999,392
2015,1,4,1,6.96,156,257.05000000000001,334.36700000000002,526.68299999999999,357.83300000000003,237.983,384
2015,1,4,2,7.29,156.047,244.21700000000001,325.63299999999998,500.233,357.21699999999998,248.88300000000001,393
2015,1,4,3,7.1100000000000003,188.482,242.69999999999999,320.16699999999997,519.73299999999995,352.58300000000003,256,399
2015,1,4,4,7.9699999999999998,194.08099999999999,231.05000000000001,318.85000000000002,511.93299999999999,351.81700000000001,267.89999999999998,400
2015,1,4,5,7.71,194.363,212.233,313.11700000000002,502.05000000000001,346.71699999999998,267.06700000000001,417
2015,1,4,6,8.6300000000000008,193.786,209.03299999999999,314.96699999999998,493.31700000000001,341.983,270.05000000000001,408
2015,1,4,7,7.7800000000000002,193.76400000000001,202.90000000000001,312.56700000000001,501.28300000000002,350.60000000000002,265.94999999999999,404
2015,1,4,8,7.1699999999999999,194.03999999999999,203.56700000000001,309,511.233,350.36700000000002,263.19999999999999,405
2015,1,4,9,6.75,193.762,210,312.08300000000003,507.93299999999999,368.94999999999999,259.30000000000001,405
2015,1,4,10,9.1899999999999995,194.19,206.05000000000001,305.91699999999997,540.64999999999998,380.36700000000002,244.15000000000001,405
2015,1,4,11,7.21,191.858,204.88300000000001,302.05000000000001,628.35000000000002,378.36700000000002,239.767,395
2015,1,4,12,6.4299999999999997,191.08699999999999,202.517,299.61700000000002,659.96699999999998,373.35000000000002,240.517,376
2015,1,4,13,7.5199999999999996,190.60499999999999,201.13300000000001,301.75,646,376.44999999999999,248.983,373
2015,1,4,14,8.5899999999999999,174.06700000000001,208.13300000000001,306.66699999999997,713.38300000000004,366.14999999999998,254.267,392
2015,1,4,15,6.4699999999999998,169.51300000000001,215.53299999999999,315.91699999999997,552.36699999999996,356.017,253.19999999999999,400
2015,1,4,16,7.2400000000000002,170.13800000000001,218.36699999999999,312.66699999999997,482.233,356.94999999999999,250.34999999999999,401
2015,1,4,17,9.5800000000000001,169.93600000000001,225.93299999999999,306.483,461.96699999999998,355.16699999999997,248.167,415
2015,1,4,18,7.8399999999999999,169.804,242.767,301.63299999999998,468.75,352.63299999999998,248.983,428
2015,1,4,19,8.0700000000000003,181.554,266,299.13299999999998,454.80000000000001,355.58300000000003,253.75,433
2015,1,4,20,7.5300000000000002,192.357,265.05000000000001,304.63299999999998,455.61700000000002,362.53300000000002,254.167,437
